empid,gender,age,maritalstatus,joblevel,experience,occupation,emptype,wlb,workenv,physicalactivityhours,workload,stress,sleephours,commutemode,commutedistance,numcompanies,teamsize,numreports,edulevel,haveot,traininghoursperyear,jobsatisfaction,work_schedule_variability,work_schedule_variability_logit,pause_work,pause_work_logit,work_pace,work_pace_pca
129,Male,23,Single,Junior,1,IT,Full-Time,5,4,2.7,4,1,5.8,Car,18,0,9,0,High School,True,20.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
136,Female,25,Single,Junior,3,Operations,Full-Time,4,1,1.0,5,1,8.8,Motorbike,15,1,7,0,High School,False,21.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
142,Male,24,Single,Junior,2,Finance,Full-Time,4,5,2.5,2,3,7.2,Car,6,0,8,0,High School,False,21.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
156,Male,22,Single,Intern/Fresher,0,Finance,Part-Time,5,2,2.2,5,1,7.3,Walk,1,0,21,0,High School,False,10.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
175,Male,24,Single,Junior,1,IT,Full-Time,3,3,0.9,1,1,7.5,Bike,9,0,9,0,High School,False,20.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
180,Male,23,Single,Intern/Fresher,1,Operations,Contract,4,4,2.1,3,2,5.5,Bike,4,0,25,0,High School,False,10.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
195,Male,23,Single,Intern/Fresher,1,Sales,Full-Time,1,5,1.3,3,2,5.4,Walk,2,0,21,0,High School,False,10.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
199,Male,22,Single,Intern/Fresher,0,IT,Full-Time,4,4,1.2,1,2,6.0,Bike,4,0,20,0,High School,False,10.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
214,Female,24,Married,Junior,2,IT,Full-Time,2,2,1.8,4,2,8.0,Bike,2,0,5,0,High School,False,21.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
261,Male,22,Single,Junior,0,Operations,Full-Time,5,5,3.7,3,1,5.9,Bike,10,0,9,0,High School,False,20.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
271,Female,23,Single,Junior,1,Finance,Contract,4,4,1.1,4,2,7.5,Public Transport,7,0,8,0,High School,False,20.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
279,Male,22,Single,Intern/Fresher,0,Marketing,Full-Time,3,4,0.3,1,2,6.2,Car,11,0,30,0,High School,False,10.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
282,Female,22,Single,Junior,0,Legal,Full-Time,3,2,2.0,1,3,8.6,Walk,1,0,8,0,High School,True,20.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
300,Male,22,Single,Intern/Fresher,0,IT,Full-Time,1,2,2.9,1,1,6.6,Public Transport,21,0,27,0,High School,False,10.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
351,Female,24,Married,Junior,2,Marketing,Contract,2,5,1.1,2,3,6.8,Car,24,0,9,0,High School,False,21.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
357,Female,24,Single,Junior,2,Legal,Full-Time,1,5,1.2,4,1,7.3,Car,12,0,5,0,High School,False,21.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
372,Male,22,Single,Intern/Fresher,0,IT,Part-Time,4,2,0.6,3,1,6.2,Public Transport,11,0,30,0,High School,True,10.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
381,Male,22,Single,Intern/Fresher,0,Marketing,Full-Time,2,1,2.9,3,1,7.2,Public Transport,5,0,26,0,High School,False,10.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
393,Other,24,Single,Junior,2,Customer Service,Part-Time,1,2,1.8,2,1,7.6,Bike,1,0,9,0,High School,False,21.0,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
408,Male,23,Single,Intern/Fresher,1,IT,Full-Time,2,4,4.2,4,1,5.6,Car,28,0,25,0,High School,False,10.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
415,Female,22,Single,Intern/Fresher,0,Operations,Full-Time,5,2,2.9,3,2,6.8,Car,14,0,22,0,High School,True,10.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
418,Male,26,Single,Junior,4,IT,Full-Time,5,5,0.7,3,1,6.6,Public Transport,10,1,9,0,High School,True,22.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
424,Male,26,Married,Junior,4,IT,Full-Time,2,3,1.0,1,3,8.1,Public Transport,8,1,9,0,High School,False,22.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
459,Female,24,Single,Junior,2,Marketing,Full-Time,2,1,4.0,1,1,6.5,Public Transport,28,0,7,0,High School,False,21.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
485,Male,23,Single,Junior,1,IT,Full-Time,4,4,2.8,4,1,6.7,Car,14,0,9,0,High School,True,20.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
489,Male,28,Single,Junior,6,Finance,Part-Time,5,1,1.9,1,1,7.8,Car,6,2,9,0,High School,False,23.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
494,Male,23,Single,Intern/Fresher,1,Operations,Full-Time,2,1,1.1,2,2,7.4,Walk,1,0,29,0,High School,False,10.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
499,Male,24,Single,Junior,2,Finance,Full-Time,3,5,2.8,4,1,6.6,Motorbike,8,0,8,0,High School,False,21.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
501,Male,28,Single,Junior,4,IT,Contract,3,3,2.7,3,1,6.7,Public Transport,22,2,8,0,High School,True,22.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
503,Male,24,Single,Junior,2,Legal,Full-Time,5,1,2.0,1,4,6.7,Public Transport,16,0,7,0,High School,False,21.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
519,Female,24,Single,Junior,2,Finance,Full-Time,1,2,1.8,4,1,8.4,Car,16,0,6,0,High School,False,21.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
538,Male,22,Single,Intern/Fresher,0,IT,Full-Time,3,4,2.7,2,2,7.0,Car,19,0,25,0,High School,True,10.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
595,Other,23,Single,Intern/Fresher,1,IT,Full-Time,5,4,1.8,2,3,6.8,Car,26,0,27,0,High School,True,10.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
608,Male,25,Single,Junior,3,Legal,Full-Time,4,3,1.7,4,4,9.4,Bike,10,1,5,0,High School,False,21.5,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1511,Male,22,Single,Intern/Fresher,0,Legal,Part-Time,1,5,3.5,5,2,8.1,Public Transport,6,0,23,0,High School,False,10.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1512,Male,23,Single,Intern/Fresher,1,Operations,Part-Time,3,1,2.1,1,1,7.1,Walk,2,0,23,0,High School,False,10.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1517,Male,23,Single,Intern/Fresher,1,IT,Full-Time,5,5,1.9,5,3,7.1,Car,6,0,26,0,High School,True,10.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1518,Other,22,Single,Junior,0,IT,Full-Time,5,5,1.7,4,3,6.9,Public Transport,9,0,5,0,High School,False,20.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1534,Other,22,Single,Junior,0,Operations,Full-Time,4,4,2.0,3,1,7.9,Car,5,0,10,0,High School,False,20.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1550,Female,24,Single,Junior,2,Operations,Part-Time,5,5,2.6,5,1,7.8,Car,11,0,8,0,High School,False,21.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1594,Female,22,Single,Junior,0,Sales,Full-Time,5,4,2.4,3,2,6.5,Walk,1,0,5,0,High School,False,20.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
1606,Male,23,Single,Intern/Fresher,1,Finance,Full-Time,3,3,2.1,4,1,8.3,Public Transport,25,0,20,0,High School,False,10.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1643,Male,23,Single,Intern/Fresher,1,IT,Full-Time,2,5,1.5,1,1,6.5,Car,8,0,25,0,High School,True,10.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1695,Female,24,Married,Junior,2,Legal,Full-Time,4,2,0.9,2,1,8.3,Public Transport,17,0,7,0,High School,False,21.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1699,Male,22,Single,Junior,0,Sales,Full-Time,3,2,1.5,4,1,7.3,Car,14,0,5,0,High School,False,20.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
1789,Female,23,Single,Intern/Fresher,1,Sales,Full-Time,4,5,1.0,2,1,8.0,Car,23,0,23,0,High School,True,10.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
1793,Male,23,Single,Intern/Fresher,1,Legal,Full-Time,1,3,2.5,1,4,7.8,Car,17,0,21,0,High School,False,10.5,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1806,Other,23,Single,Intern/Fresher,1,Finance,Full-Time,1,5,3.2,2,1,7.0,Public Transport,26,0,25,0,High School,False,10.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1844,Male,24,Single,Junior,2,Customer Service,Full-Time,3,1,0.8,2,3,8.1,Car,9,0,5,0,High School,False,21.0,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
1873,Female,23,Single,Intern/Fresher,1,Legal,Full-Time,4,3,1.4,1,1,7.0,Motorbike,24,0,22,0,High School,False,10.5,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1881,Male,24,Single,Junior,2,IT,Contract,4,2,1.6,2,3,7.5,Public Transport,9,0,7,0,High School,True,21.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1902,Male,22,Single,Junior,0,IT,Full-Time,1,3,1.9,4,3,9.1,Car,23,0,5,0,High School,False,20.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1910,Other,22,Single,Intern/Fresher,0,Finance,Full-Time,4,3,1.9,5,1,7.2,Motorbike,9,0,23,0,High School,False,10.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1912,Male,22,Single,Junior,0,Operations,Full-Time,2,3,0.7,3,2,7.3,Car,16,0,6,0,High School,False,20.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1924,Female,23,Single,Junior,1,IT,Full-Time,1,5,0.5,5,1,6.1,Bike,7,0,9,0,High School,False,20.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1958,Male,24,Single,Junior,2,Finance,Full-Time,5,4,3.6,4,1,6.9,Public Transport,27,0,6,0,High School,True,21.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1989,Male,22,Single,Intern/Fresher,0,Finance,Full-Time,2,5,1.5,3,1,6.4,Walk,2,0,25,0,High School,False,10.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1995,Female,22,Single,Intern/Fresher,0,Sales,Full-Time,4,2,3.7,3,2,6.0,Public Transport,23,0,22,0,High School,False,10.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2013,Female,29,Single,Junior,7,Marketing,Full-Time,4,5,1.7,4,1,7.1,Public Transport,26,2,5,0,High School,False,23.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2105,Male,22,Single,Intern/Fresher,0,Operations,Full-Time,3,2,2.2,4,1,8.4,Bike,2,0,21,0,High School,False,10.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2126,Female,23,Single,Junior,1,Finance,Full-Time,4,1,2.4,4,1,7.3,Car,24,0,9,0,High School,False,20.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2129,Male,23,Single,Intern/Fresher,1,Legal,Full-Time,3,2,2.1,3,3,7.9,Motorbike,19,0,23,0,High School,False,10.5,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2144,Male,24,Single,Junior,2,Operations,Full-Time,4,2,0.8,4,1,6.8,Car,12,0,10,0,High School,False,21.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2148,Female,22,Single,Junior,0,Finance,Full-Time,1,2,2.0,2,1,7.5,Car,29,0,7,0,High School,False,20.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2198,Male,24,Single,Junior,2,HR,Contract,3,3,2.6,4,1,6.8,Public Transport,17,0,10,0,High School,False,21.0,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2200,Male,24,Single,Junior,2,IT,Full-Time,4,3,2.2,5,1,7.6,Car,11,0,5,0,High School,True,21.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2207,Male,24,Single,Junior,2,IT,Full-Time,3,2,1.0,5,1,7.5,Motorbike,8,0,7,0,High School,False,21.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2212,Male,23,Single,Intern/Fresher,1,Finance,Full-Time,4,2,2.3,2,3,7.9,Bike,8,0,25,0,High School,False,10.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2222,Other,22,Single,Intern/Fresher,0,Sales,Full-Time,5,3,0.9,2,2,7.4,Car,13,0,29,0,High School,False,10.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2223,Female,27,Single,Junior,5,HR,Full-Time,4,2,3.1,1,1,6.6,Public Transport,20,1,9,0,High School,False,22.5,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2280,Female,24,Single,Junior,2,Finance,Full-Time,4,3,2.8,5,1,7.1,Motorbike,13,0,8,0,High School,False,21.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2310,Male,22,Single,Junior,0,IT,Full-Time,5,4,0.7,5,1,8.5,Motorbike,4,0,10,0,High School,True,20.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2380,Male,22,Single,Intern/Fresher,0,Marketing,Full-Time,3,3,2.1,5,1,7.5,Car,19,0,23,0,High School,False,10.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2427,Female,23,Single,Junior,1,Operations,Full-Time,5,4,2.6,4,3,6.8,Bike,1,0,7,0,High School,False,20.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2433,Female,22,Single,Intern/Fresher,0,Marketing,Full-Time,1,2,2.5,2,1,6.3,Car,22,0,20,0,High School,False,10.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2439,Female,24,Single,Junior,2,Operations,Part-Time,4,5,1.5,5,1,7.8,Motorbike,21,0,5,0,High School,False,21.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2446,Female,24,Single,Junior,2,HR,Full-Time,5,5,1.2,3,4,6.7,Car,9,0,9,0,High School,False,21.0,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2448,Female,22,Single,Junior,0,Operations,Full-Time,1,2,1.4,2,2,8.4,Car,8,0,9,0,High School,False,20.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2463,Female,22,Single,Intern/Fresher,0,Operations,Full-Time,2,2,2.9,3,1,8.5,Public Transport,16,0,30,0,High School,False,10.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2466,Male,25,Single,Junior,3,IT,Full-Time,1,4,2.2,1,1,5.5,Public Transport,25,1,6,0,High School,True,21.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2468,Other,29,Single,Junior,7,Sales,Full-Time,4,3,1.4,4,1,6.4,Car,8,2,5,0,High School,False,23.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2482,Female,23,Single,Intern/Fresher,1,Sales,Full-Time,5,5,3.0,4,1,5.0,Bike,9,0,26,0,High School,False,10.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2517,Other,22,Single,Junior,0,Operations,Full-Time,4,3,4.8,4,1,8.2,Walk,2,0,9,0,High School,False,20.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2521,Female,23,Single,Junior,1,Marketing,Full-Time,2,3,0.5,1,1,7.3,Car,24,0,9,0,High School,False,20.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2554,Female,24,Single,Junior,2,Finance,Contract,1,5,3.0,1,3,4.4,Walk,2,0,7,0,High School,False,21.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2555,Female,22,Single,Intern/Fresher,0,Sales,Part-Time,1,3,3.1,2,1,8.6,Car,29,0,24,0,High School,False,10.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2557,Male,23,Single,Intern/Fresher,1,Sales,Full-Time,2,4,3.1,2,3,7.4,Walk,1,0,27,0,High School,False,10.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2560,Male,24,Single,Junior,2,Operations,Full-Time,3,1,0.6,2,1,6.4,Car,14,0,9,0,High School,False,21.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2568,Male,23,Single,Intern/Fresher,1,Operations,Full-Time,1,5,1.4,3,1,5.5,Public Transport,17,0,20,0,High School,False,10.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2573,Male,22,Single,Intern/Fresher,0,Finance,Full-Time,5,2,1.4,3,1,6.9,Motorbike,7,0,28,0,High School,False,10.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2585,Male,28,Single,Junior,6,IT,Full-Time,2,2,0.9,2,1,8.5,Bike,10,2,6,0,High School,True,23.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2606,Male,23,Single,Junior,1,HR,Full-Time,3,2,1.9,5,2,8.0,Car,17,0,7,0,High School,False,20.5,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2607,Female,22,Single,Junior,0,Operations,Full-Time,2,3,1.5,1,1,8.3,Public Transport,23,0,7,0,High School,False,20.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2620,Male,22,Single,Intern/Fresher,0,Finance,Part-Time,5,2,2.3,2,3,8.2,Car,23,0,26,0,High School,False,10.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2635,Female,23,Single,Junior,1,IT,Full-Time,4,2,2.5,1,2,6.4,Bike,7,0,6,0,High School,False,20.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2642,Female,28,Single,Junior,4,Legal,Contract,5,2,2.8,5,1,7.7,Bike,3,2,7,0,High School,False,22.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2648,Female,22,Single,Junior,0,Marketing,Full-Time,4,1,3.8,2,1,7.4,Car,8,0,9,0,High School,True,20.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2670,Male,22,Single,Intern/Fresher,0,IT,Part-Time,1,4,2.4,4,1,7.5,Bike,3,0,21,0,High School,False,10.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2676,Female,23,Single,Junior,1,Operations,Part-Time,5,1,1.8,4,1,7.6,Public Transport,15,0,8,0,High School,False,20.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2708,Male,27,Single,Junior,5,Finance,Full-Time,3,4,0.7,3,4,7.0,Public Transport,22,1,7,0,High School,False,22.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2711,Male,23,Single,Intern/Fresher,1,Operations,Full-Time,2,5,1.1,3,4,6.8,Car,20,0,29,0,High School,False,10.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2730,Female,24,Single,Junior,2,Finance,Full-Time,3,3,2.6,2,3,8.6,Car,24,0,5,0,High School,False,21.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2736,Female,29,Single,Junior,7,IT,Contract,5,1,1.8,5,1,7.4,Public Transport,22,2,5,0,High School,False,23.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2992,Male,23,Single,Junior,1,Marketing,Full-Time,2,2,0.2,5,4,6.3,Public Transport,25,0,9,0,High School,True,20.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
397,Female,22,Single,Junior,0,Finance,Full-Time,4,2,2.1,4,2,6.6,Motorbike,7,0,7,0,High School,True,20.0,3,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
498,Female,22,Single,Intern/Fresher,0,Operations,Full-Time,2,4,2.1,3,4,5.0,Motorbike,17,0,23,0,High School,True,10.0,3,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
540,Female,22,Single,Junior,0,Finance,Full-Time,5,1,0.3,2,4,7.5,Car,17,0,9,0,High School,True,20.0,3,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2529,Female,24,Single,Junior,2,Finance,Contract,4,5,3.4,2,1,6.9,Motorbike,10,0,5,0,High School,False,21.0,3,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
682,Female,23,Single,Intern/Fresher,1,Sales,Full-Time,2,5,2.5,3,2,7.1,Car,6,0,22,0,High School,True,10.5,3,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
684,Female,23,Single,Junior,1,Customer Service,Full-Time,1,3,2.2,3,1,6.5,Motorbike,12,0,7,0,High School,False,20.5,3,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
691,Male,23,Single,Intern/Fresher,1,Finance,Full-Time,5,2,0.8,1,3,6.9,Car,28,0,26,0,High School,False,10.5,3,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
692,Female,26,Single,Junior,4,Legal,Full-Time,1,5,0.2,3,1,7.7,Car,23,1,5,0,High School,False,22.0,3,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
696,Female,24,Single,Junior,2,Finance,Full-Time,1,5,2.8,5,3,8.2,Bike,10,0,9,0,High School,False,21.0,3,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
760,Male,22,Single,Intern/Fresher,0,IT,Part-Time,1,4,2.6,2,1,7.3,Car,16,0,28,0,High School,False,10.0,3,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
776,Female,22,Single,Intern/Fresher,0,Finance,Full-Time,3,3,3.0,2,2,7.9,Car,10,0,23,0,High School,False,10.0,3,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
781,Male,23,Single,Intern/Fresher,1,IT,Full-Time,4,2,0.8,5,1,8.9,Car,14,0,27,0,High School,True,10.5,3,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
806,Male,22,Single,Junior,0,Sales,Part-Time,4,1,2.5,3,1,6.6,Public Transport,9,0,7,0,High School,False,20.0,3,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
824,Female,23,Single,Junior,1,IT,Full-Time,4,1,2.9,4,1,8.0,Car,22,0,7,0,High School,True,20.5,3,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
834,Male,23,Single,Junior,1,Legal,Part-Time,4,4,0.3,3,1,7.3,Motorbike,15,0,8,0,High School,False,20.5,3,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
843,Female,22,Single,Junior,0,Marketing,Part-Time,5,2,2.3,2,1,6.2,Public Transport,23,0,8,0,High School,False,20.0,3,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
873,Male,22,Single,Junior,0,Operations,Full-Time,4,1,1.2,5,3,9.4,Motorbike,16,0,10,0,High School,False,20.0,3,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
